id,start_date,motion:name,motion:number,motion:document,sources:link:url,legislative_session_id,result,counts:option:yes,counts:option:no,counts:option:abstain,number_of_people,present,identifier
48706,2018-11-15,složení návrhového výboru,,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=33394&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=48706,1,pass,61,,,65,61,48706
48708,2018-11-15,"o ad hoc změně Jednacího řádu ZHMP – vyřadit pravidelné body jednání „„Návrhy, připomínky a podněty občanů"" a „Dotazy, připomínky a podněty členů Zastupitelstva hl. m. Prahy"" z tohoto ustavujícího zasedání ZHMP",,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=33394&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=48708,1,pass,64,,,65,64,48708
48710,2018-11-15,zařadit bod „Dopravní priority v Praze“ jako bod poř. č. 11   (Stuchlík),,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=33394&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=48710,1,fail,26,11,26,65,63,48710
48712,2018-11-15,"zařadit bod „K zřízení funkce zmocněnce hl. m. Prahy pro koordinační činnost v jednání s orgány státní správy“, tisk Z – 6900 jako bod poř. č. 11   (Udženija)",,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=33394&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=48712,1,pass,61,,3,65,64,48712
48714,2018-11-15,o celém návrhu programu jednání,,,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=33394&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=48714,1,pass,65,,,65,65,48714
48716,2018-11-15,"k návrhu na volbu primátora hl. m. Prahy, náměstků primátora hl. m. Prahy a členů Rady hlavního města Prahy",1,Z-6888,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=33394&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=48716,1,pass,43,0,22,65,65,48716
48718,2018-11-15,"k návrhu na volbu primátora hl. m. Prahy, náměstků primátora hl. m. Prahy a členů Rady hlavního města Prahy",1,Z-6888,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=33394&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=48718,1,fail,26,20,18,65,64,48718
48720,2018-11-15,"k návrhu na volbu primátora hl. m. Prahy, náměstků primátora hl. m. Prahy a členů Rady hlavního města Prahy",1,Z-6888,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=33394&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=48720,1,pass,39,0,26,65,65,48720
48722,2018-11-15,"k návrhu na volbu primátora hl. m. Prahy, náměstků primátora hl. m. Prahy a členů Rady hlavního města Prahy",1,Z-6888,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=33394&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=48722,1,pass,39,12,14,65,65,48722
48724,2018-11-15,"k návrhu na volbu primátora hl. m. Prahy, náměstků primátora hl. m. Prahy a členů Rady hlavního města Prahy",1,Z-6888,http://www.praha.eu/jnp/cz/o_meste/primator_a_volene_organy/zastupitelstvo/vysledky_hlasovani/index.html?size=&periodId=33394&resolutionNumber=&printNumber=&s=1&meeting=&start=&votingId=48724,1,pass,50,0,13,65,63,48724
